Date,Open,High,Low,Close,Volume
2013-01-02,65.10209163346613,65.10209163346613,65.10209163346613,65.10209163346613,10000
2013-01-03,65.20418326693228,65.20418326693228,65.20418326693228,65.20418326693228,10000
2013-01-04,65.3062749003984,65.3062749003984,65.3062749003984,65.3062749003984,10000
2013-01-07,65.61254980079681,65.61254980079681,65.61254980079681,65.61254980079681,10000
2013-01-08,65.71464143426294,65.71464143426294,65.71464143426294,65.71464143426294,10000
2013-01-09,65.81673306772909,65.81673306772909,65.81673306772909,65.81673306772909,10000
2013-01-10,65.91882470119522,65.91882470119522,65.91882470119522,65.91882470119522,10000
2013-01-11,66.02091633466135,66.02091633466135,66.02091633466135,66.02091633466135,10000
2013-01-14,66.32719123505976,66.32719123505976,66.32719123505976,66.32719123505976,10000
2013-01-15,66.4292828685259,66.4292828685259,66.4292828685259,66.4292828685259,10000
2013-01-16,66.53137450199203,66.53137450199203,66.53137450199203,66.53137450199203,10000
2013-01-17,66.63346613545816,66.63346613545816,66.63346613545816,66.63346613545816,10000
2013-01-18,66.73555776892431,66.73555776892431,66.73555776892431,66.73555776892431,10000
2013-01-22,67.14392430278885,67.14392430278885,67.14392430278885,67.14392430278885,10000
2013-01-23,67.24601593625498,67.24601593625498,67.24601593625498,67.24601593625498,10000
2013-01-24,67.34810756972112,67.34810756972112,67.34810756972112,67.34810756972112,10000
2013-01-25,67.45019920318725,67.45019920318725,67.45019920318725,67.45019920318725,10000
2013-01-28,67.75647410358566,67.75647410358566,67.75647410358566,67.75647410358566,10000
2013-01-29,67.85856573705179,67.85856573705179,67.85856573705179,67.85856573705179,10000
2013-01-30,67.96065737051794,67.96065737051794,67.96065737051794,67.96065737051794,10000
2013-01-31,68.06274900398407,68.06274900398407,68.06274900398407,68.06274900398407,10000
2013-02-01,68.1648406374502,68.1648406374502,68.1648406374502,68.1648406374502,10000
2013-02-04,68.4711155378486,68.4711155378486,68.4711155378486,68.4711155378486,10000
2013-02-05,68.57320717131473,68.57320717131473,68.57320717131473,68.57320717131473,10000
2013-02-06,68.67529880478088,68.67529880478088,68.67529880478088,68.67529880478088,10000
2013-02-07,68.77739043824701,68.77739043824701,68.77739043824701,68.77739043824701,10000
2013-02-08,68.87948207171314,68.87948207171314,68.87948207171314,68.87948207171314,10000
2013-02-11,69.18575697211155,69.18575697211155,69.18575697211155,69.18575697211155,10000
2013-02-12,69.2878486055777,69.2878486055777,69.2878486055777,69.2878486055777,10000
2013-02-13,69.38994023904382,69.38994023904382,69.38994023904382,69.38994023904382,10000
2013-02-14,69.49203187250995,69.49203187250995,69.49203187250995,69.49203187250995,10000
2013-02-15,69.5941235059761,69.5941235059761,69.5941235059761,69.5941235059761,10000
2013-02-19,70.00249003984064,70.00249003984064,70.00249003984064,70.00249003984064,10000
2013-02-20,70.10458167330677,70.10458167330677,70.10458167330677,70.10458167330677,10000
2013-02-21,70.20667330677291,70.20667330677291,70.20667330677291,70.20667330677291,10000
2013-02-22,70.30876494023904,70.30876494023904,70.30876494023904,70.30876494023904,10000
2013-02-25,70.61503984063745,70.61503984063745,70.61503984063745,70.61503984063745,10000
2013-02-26,70.71713147410358,70.71713147410358,70.71713147410358,70.71713147410358,10000
2013-02-27,70.81922310756973,70.81922310756973,70.81922310756973,70.81922310756973,10000
2013-02-28,70.92131474103586,70.92131474103586,70.92131474103586,70.92131474103586,10000
2013-03-01,71.02340637450199,71.02340637450199,71.02340637450199,71.02340637450199,10000
2013-03-04,71.3296812749004,71.3296812749004,71.3296812749004,71.3296812749004,10000
2013-03-05,71.43177290836654,71.43177290836654,71.43177290836654,71.43177290836654,10000
2013-03-06,71.53386454183267,71.53386454183267,71.53386454183267,71.53386454183267,10000
2013-03-07,71.6359561752988,71.6359561752988,71.6359561752988,71.6359561752988,10000
2013-03-08,71.73804780876495,71.73804780876495,71.73804780876495,71.73804780876495,10000
2013-03-11,72.04432270916335,72.04432270916335,72.04432270916335,72.04432270916335,10000
2013-03-12,72.14641434262948,72.14641434262948,72.14641434262948,72.14641434262948,10000
2013-03-13,72.24850597609561,72.24850597609561,72.24850597609561,72.24850597609561,10000
