Date,Open,High,Low,Close,Volume
2002-01-02,100.0,100.0,100.0,100.0,10000
2002-01-03,99.08199094264893,99.08199094264893,99.08199094264893,99.08199094264893,10000
2002-01-04,98.46638028176899,98.46638028176899,98.46638028176899,98.46638028176899,10000
2002-01-07,99.10630090564852,99.10630090564852,99.10630090564852,99.10630090564852,10000
2002-01-08,99.46193075539271,99.46193075539271,99.46193075539271,99.46193075539271,10000
2002-01-09,99.93922278420112,99.93922278420112,99.93922278420112,99.93922278420112,10000
2002-01-10,99.81723088864723,99.81723088864723,99.81723088864723,99.81723088864723,10000
2002-01-11,100.76228812172636,100.76228812172636,100.76228812172636,100.76228812172636,10000
2002-01-14,101.39468595953562,101.39468595953562,101.39468595953562,101.39468595953562,10000
2002-01-15,100.70175351309943,100.70175351309943,100.70175351309943,100.70175351309943,10000
2002-01-16,102.3376657567592,102.3376657567592,102.3376657567592,102.3376657567592,10000
2002-01-17,101.31117068222673,101.31117068222673,101.31117068222673,101.31117068222673,10000
2002-01-18,102.31638736057334,102.31638736057334,102.31638736057334,102.31638736057334,10000
2002-01-22,103.06679625840982,103.06679625840982,103.06679625840982,103.06679625840982,10000
2002-01-23,102.25004135431756,102.25004135431756,102.25004135431756,102.25004135431756,10000
2002-01-24,101.89023206037132,101.89023206037132,101.89023206037132,101.89023206037132,10000
2002-01-25,101.78853488485899,101.78853488485899,101.78853488485899,101.78853488485899,10000
2002-01-28,101.80829213373822,101.80829213373822,101.80829213373822,101.80829213373822,10000
2002-01-29,104.72131451056566,104.72131451056566,104.72131451056566,104.72131451056566,10000
2002-01-30,103.49108535305996,103.49108535305996,103.49108535305996,103.49108535305996,10000
2002-01-31,101.9455540099375,101.9455540099375,101.9455540099375,101.9455540099375,10000
2002-02-01,102.66716475787096,102.66716475787096,102.66716475787096,102.66716475787096,10000
2002-02-04,105.20685609657698,105.20685609657698,105.20685609657698,105.20685609657698,10000
2002-02-05,105.6317365007623,105.6317365007623,105.6317365007623,105.6317365007623,10000
2002-02-06,106.26260898370587,106.26260898370587,106.26260898370587,106.26260898370587,10000
2002-02-07,106.59016800834247,106.59016800834247,106.59016800834247,106.59016800834247,10000
2002-02-08,105.00637627182267,105.00637627182267,105.00637627182267,105.00637627182267,10000
2002-02-11,103.50056794616737,103.50056794616737,103.50056794616737,103.50056794616737,10000
2002-02-12,103.91384247663653,103.91384247663653,103.91384247663653,103.91384247663653,10000
2002-02-13,102.88080191640954,102.88080191640954,102.88080191640954,102.88080191640954,10000
2002-02-14,103.06752446708218,103.06752446708218,103.06752446708218,103.06752446708218,10000
2002-02-15,104.202988626074,104.202988626074,104.202988626074,104.202988626074,10000
2002-02-19,106.16969635108211,106.16969635108211,106.16969635108211,106.16969635108211,10000
2002-02-20,104.7349427567909,104.7349427567909,104.7349427567909,104.7349427567909,10000
2002-02-21,106.35941603980395,106.35941603980395,106.35941603980395,106.35941603980395,10000
2002-02-22,105.48468843047472,105.48468843047472,105.48468843047472,105.48468843047472,10000
2002-02-25,103.58858039417896,103.58858039417896,103.58858039417896,103.58858039417896,10000
2002-02-26,103.59325350271655,103.59325350271655,103.59325350271655,103.59325350271655,10000
2002-02-27,103.54562909024588,103.54562909024588,103.54562909024588,103.54562909024588,10000
2002-02-28,103.84044003796492,103.84044003796492,103.84044003796492,103.84044003796492,10000
2002-03-01,101.49008526381914,101.49008526381914,101.49008526381914,101.49008526381914,10000
2002-03-04,99.51190506914915,99.51190506914915,99.51190506914915,99.51190506914915,10000
2002-03-05,100.17598053260215,100.17598053260215,100.17598053260215,100.17598053260215,10000
2002-03-06,98.72246959667282,98.72246959667282,98.72246959667282,98.72246959667282,10000
2002-03-07,99.16650975865214,99.16650975865214,99.16650975865214,99.16650975865214,10000
2002-03-08,98.58652186600376,98.58652186600376,98.58652186600376,98.58652186600376,10000
2002-03-11,98.25206460979312,98.25206460979312,98.25206460979312,98.25206460979312,10000
2002-03-12,98.47746033348787,98.47746033348787,98.47746033348787,98.47746033348787,10000
2002-03-13,99.44822604686527,99.44822604686527,99.44822604686527,99.44822604686527,10000
2002-03-14,99.53869850277071,99.53869850277071,99.53869850277071,99.53869850277071,10000
2002-03-15,98.40608628282615,98.40608628282615,98.40608628282615,98.40608628282615,10000
2002-03-18,98.45755972504486,98.45755972504486,98.45755972504486,98.45755972504486,10000
2002-03-19,98.05715832480784,98.05715832480784,98.05715832480784,98.05715832480784,10000
2002-03-20,99.60222848988359,99.60222848988359,99.60222848988359,99.60222848988359,10000
